project,startDate,hoursSavedPerWeek,employeesImpacted,hourlyRate,owner,status,tool,costEstUsd
Voice of the Customer (VoC),2023-10-01,40,15,22,Eduardo,live,UiPath,0
Automated Cancellation Input,2025-02-01,3,1,22,Eduardo,live,UiPath,0
Social Review Sorting,2025-05-01,10,1,22,Eduardo,live,Python,0
OEM Survey ETL + KPI,2025-08-01,5,1,22,Eduardo,live,Python,0
